model,model_index,selected_start_id,train_mse,validation_rmse,validation_bic,test_rmse,fit_success,duplicate_of
LADDER_1R1C,0,29,3.258451147185855,5.006915792201093,4738.34808036522,0.8494943829681121,True,
STD_1R1C,10,29,3.258451147185855,5.006915792201093,4738.34808036522,0.8494943829681121,True,LADDER_1R1C
STD_2R1C_parallel_losses,11,14,3.2584660367674716,5.0070032119740935,4745.68812992227,0.8495919213971574,True,
LADDER_2R2C,1,3,3.258466798321847,5.00690119719979,4752.917400714355,0.8494996990149162,True,
STD_2R2C_air_mass,12,3,3.258466798321847,5.00690119719979,4752.917400714355,0.8494996990149162,True,LADDER_2R2C
STD_3R2C_air_shunt,13,31,3.2584834276050523,5.006887289658841,4760.19819536713,0.849499779442378,True,
LADDER_3R3C,2,11,3.258456052229713,5.006929268071397,4767.511671702272,0.8495119924454722,True,
STD_3R3C_two_masses_series,14,11,3.258456052229713,5.006929268071397,4767.511671702272,0.8495119924454722,True,LADDER_3R3C
STD_4R3C_two_masses_plus_air_shunt,15,4,3.2584714171040474,5.006893630339368,4774.779758748735,0.8494985595961497,True,
STD_5R3C_air_shunt_mid_shunt,16,23,3.25848060938399,5.006695676356618,4781.952921906922,0.849333937516607,True,
LADDER_4R4C,3,21,3.2585118046899506,5.006950977167163,4782.102222316513,0.8495217270358777,True,
STD_6R4C_three_masses_plus_shunts,17,15,3.2584570774780515,5.006920278563626,4796.66212550528,0.849497831094726,True,
LADDER_5R5C,4,22,3.258454561864766,5.0069497122586855,4796.679338003388,0.8495194583544823,True,
STD_7R5C_four_masses_plus_shunts,18,24,3.258479388684964,5.006900433667707,4811.228375762391,0.8494857543512015,True,
LADDER_6R6C,5,21,3.258465721102256,5.0069154250058965,4811.237142577926,0.849490357385635,True,
LADDER_7R7C,6,4,3.2584977513778584,5.00693006665035,4825.823560259047,0.8495032315440902,True,
LADDER_8R8C,7,2,3.258456129168796,5.006848511384159,4840.353722598446,0.8494331827700057,True,
LADDER_9R9C,8,1,3.258656708018928,5.006952891605966,4854.992618800496,0.8495246274506723,True,
LADDER_10R10C,9,1,3.2584806462008444,5.006928471049723,4869.556193335574,0.8495016629625671,True,
